"source","SID","views4","ov_op","ov_cv","internal","confound","external"
"Exam_4B_scores.csv",920997895,0,10,5.5,6,1,10
"Exam_4B_scores.csv",920082522,0,10,10,6,10,10
"Exam_4B_scores.csv",921674900,9,9,10,10,8,10
"Exam_4B_scores.csv",921034524,6,10,7.5,3,1,3
"Exam_4B_scores.csv",920628957,0,9,8,3,10,10
"Exam_4B_scores.csv",921803014,2,9.5,4.5,0,10,10
"Exam_4B_scores.csv",919305168,2,10,10,6,10,10
"Exam_4B_scores.csv",922511334,2,10,7.5,10,1,10
"Exam_4B_scores.csv",922761906,2,6,9,1,10,0
"Exam_4B_scores.csv",921769938,2,9.5,8,6,3,10
"Exam_4B_scores.csv",922160109,1,8,8,3,10,10
"Exam_4B_scores.csv",922720659,4,8,7,4,3,10
"Exam_4B_scores.csv",919665879,1,10,9,3,10,9
"Exam_4B_scores.csv",921494083,7,9,8,6,10,6
"Exam_4B_scores.csv",922319235,1,6,0,0,1,10
"Exam_4B_scores.csv",920581780,4,10,10,7,10,10
"Exam_4B_scores.csv",919883266,4,10,10,10,10,10
"Exam_4B_scores.csv",921877613,1,5,2.5,6,3,10
"Exam_4B_scores.csv",922906444,0,5,7.5,0,1,0
"Exam_4B_scores.csv",921173760,1,4,1,4,0,6
