"source","SID","views1","h0","h1","pv_op","ov_op","claim_ex","interpret"
"Exam_1D_scores.csv",922225358,2,8,10,10,10,10,10
"Exam_1D_scores.csv",922347139,3,10,10,10,10,5,10
"Exam_1D_scores.csv",919552746,2,0,10,2,8.25,0,3
"Exam_1D_scores.csv",922437751,3,10,10,10,10,10,10
"Exam_1D_scores.csv",917993611,1,10,10,10,10,10,10
"Exam_1D_scores.csv",920223433,1,10,10,10,10,5,10
"Exam_1D_scores.csv",919660023,5,2,8,0,10,0,0
"Exam_1D_scores.csv",922661378,0,10,10,10,8,3,10
"Exam_1D_scores.csv",920866162,1,10,10,10,10,5,10
"Exam_1D_scores.csv",919215229,6,10,10,10,6,10,10
"Exam_1D_scores.csv",921012863,1,10,10,2,10,10,10
"Exam_1D_scores.csv",922353796,0,10,10,2,8,5,10
"Exam_1D_scores.csv",922612440,2,10,10,10,10,10,10
"Exam_1D_scores.csv",922202290,8,10,10,10,10,5,10
"Exam_1D_scores.csv",921253541,16,10,8,10,10,5,10
"Exam_1D_scores.csv",921353807,0,10,10,2,10,5,10
"Exam_1D_scores.csv",922254183,3,10,10,6,10,5,10
"Exam_1D_scores.csv",920704981,1,4,10,0,2.5,10,10
"Exam_1D_scores.csv",919393060,1,10,10,1,5,0,0
"Exam_1D_scores.csv",921186058,2,10,10,10,10,10,10
"Exam_1D_scores.csv",922304606,1,8,8,5,6.25,5,10
"Exam_1D_scores.csv",920643068,2,10,10,10,6.25,10,10
"Exam_1D_scores.csv",920925281,2,10,10,10,6.25,10,10
"Exam_1D_scores.csv",921226002,3,10,10,6,8,5,10
"Exam_1D_scores.csv",919399019,0,10,10,7,10,10,10
"Exam_1D_scores.csv",920573769,6,2,10,3,8,5,10
"Exam_1D_scores.csv",920638853,3,10,10,10,10,10,10
"Exam_1D_scores.csv",919896541,1,8,10,3,7.25,5,0
"Exam_1D_scores.csv",920624948,4,10,10,10,10,0,10
"Exam_1D_scores.csv",920725973,2,10,10,10,10,5,10
"Exam_1D_scores.csv",919229969,2,10,10,10,10,10,10
"Exam_1D_scores.csv",922513976,1,10,10,10,10,10,3
"Exam_1D_scores.csv",922386080,3,10,10,8,10,10,10
"Exam_1D_scores.csv",920076936,1,10,10,10,10,10,10
"Exam_1D_scores.csv",920803756,1,4,10,7,10,5,10
"Exam_1D_scores.csv",922342189,3,10,10,10,10,5,10
"Exam_1D_scores.csv",922477216,4,10,10,10,10,5,7
"Exam_1D_scores.csv",921870241,0,10,10,10,8,10,10
"Exam_1D_scores.csv",922389278,1,10,10,9,9.25,5,10
"Exam_1D_scores.csv",922712421,14,10,10,10,10,10,10
"Exam_1D_scores.csv",922275803,2,8,10,10,10,5,0
"Exam_1D_scores.csv",999365775,0,4,10,10,7,5,10
"Exam_1D_scores.csv",919649109,0,10,10,10,10,10,10
"Exam_1D_scores.csv",915162415,5,10,10,2,7.5,10,10
"Exam_1D_scores.csv",921807214,10,10,8,3.5,7,5,0
"Exam_1D_scores.csv",922224168,2,8,10,8,10,0,10
"Exam_1D_scores.csv",922250365,10,10,10,3,3,5,10
"Exam_1D_scores.csv",922007563,6,10,10,10,10,10,10
"Exam_1D_scores.csv",922457443,3,10,10,10,10,5,10
"Exam_1D_scores.csv",922232901,1,10,10,10,10,5,10
"Exam_1D_scores.csv",922454763,6,10,10,6.5,10,10,10
"Exam_1D_scores.csv",921096850,4,10,10,5,10,10,10
"Exam_1D_scores.csv",922557110,2,10,10,5,10,5,10
"Exam_1D_scores.csv",919216969,3,10,10,10,10,5,10
"Exam_1D_scores.csv",922017317,0,6,4,7,8,5,3
"Exam_1D_scores.csv",922277733,2,10,10,6,8,5,10
"Exam_1D_scores.csv",921911281,0,0,4,4,3,0,0
