"SID","attempt","consent","age","year","gender","int","first_language","academic_exp","eng_level","ethnicity","f_edu","m_edu","p_relation","financial","program","pell_grant","minutes","hours","transfer","first_gen"
920707823,1,1,20,2,1,1,0,"99",5,1,1,3,1,7,0,0,"180","16",0,"1"
922277733,1,1,18,1,2,1,1,"70",6,4,2,2,3,2,3,1,"480","40",0,"1"
919864256,1,1,21,3,NA,1,0,"90",5,5,2,2,3,3,3,1,"210","3",0,"1"
917159468,1,1,22,2,2,1,1,"100",5,5,4,1,3,2,0,1,"45","15",0,"1"
921408574,1,1,19,2,2,1,1,"54",6,4,NA,1,NA,NA,3,1,"120","35",0,"1"
919702101,1,1,20,3,2,1,1,"100",6,5,NA,NA,1,3,3,1,"240","5",0,NA
922314890,1,1,18,1,2,1,NA,"70",3,4,NA,1,NA,NA,3,1,"120","2",0,"1"
919606854,1,1,20,3,2,1,0,"95",6,4,4,4,0,6,0,2,"420","12",0,"0"
922151383,1,1,19,1,2,1,1,"80",5,5,2,2,3,4,3,1,"240","12",0,"1"
922496378,1,1,18,1,2,1,1,"100",6,6,0,2,3,NA,3,1,"50","73",0,"1"
921882556,1,1,18,1,2,1,1,"60",6,5,3,3,3,7,1,0,"45","10",0,"1"
920879120,1,1,19,2,2,1,0,"90",6,4,4,4,3,7,0,0,"70","3.5",0,"0"
922582486,1,1,18,1,2,1,1,"100",5,4,0,0,3,7,1,0,"120","56",0,"1"
920858905,1,1,19,2,2,1,1,"90",6,0,5,3,3,7,0,0,"60","21",0,"1"
920866162,1,1,19,2,2,1,0,"95",6,1,3,3,3,7,0,0,"180","22",0,"1"
919527577,1,1,20,3,2,1,0,"100",6,4,4,4,1,7,1,0,"420","2,100",0,"0"
919428171,1,1,21,3,2,1,1,"100",6,5,4,1,3,7,0,0,"360","14",0,"1"
922484982,1,1,18,1,2,0,1,"80",6,4,4,4,0,7,0,0,"120","6",0,"0"
920638853,1,1,19,2,2,1,1,"90",5,4,NA,2,0,6,3,1,"3","12",0,"1"
919279948,1,1,20,3,2,1,0,"95",6,3,1,1,3,3,1,1,"180","5.5",0,"1"
920672071,1,1,20,2,1,1,1,"80",6,4,5,5,NA,4,0,0,"90","5",1,"0"
920453151,1,1,19,2,2,1,1,"100",6,4,4,4,3,7,0,0,"160","14",0,"0"
919927766,1,1,20,3,1,1,1,"95",6,5,0,0,3,4,3,1,"20","2",0,"1"
922225358,1,1,19,1,1,1,0,"99",6,1,4,4,3,7,0,0,"120","42",0,"0"
922509197,1,1,19,1,2,1,1,"75",6,4,5,4,3,7,0,0,"360","21",0,"0"
920876534,1,1,20,2,2,1,1,"99",6,8,1,3,3,3,3,1,"300","10",0,"1"
921779287,1,1,19,1,2,1,0,"100",6,3,5,5,3,7,1,0,"40","11",0,"0"
922366068,1,1,19,1,1,1,0,"90",6,3,4,4,3,6,3,2,"80","30",0,"0"
921889452,1,1,18,1,2,1,1,"90",5,5,1,2,3,6,3,1,"120","10",0,"1"
996793395,1,1,31,3,1,1,0,"95",6,5,5,4,1,3,0,1,"60","10",1,"0"
922270620,1,1,18,1,2,1,1,"40",5,5,3,3,NA,7,3,1,"1,020","3",0,"1"
921083070,1,1,19,2,2,1,0,"100",5,4,5,5,3,7,0,0,"120","13",0,"0"
921677017,1,1,18,1,2,1,0,"100",6,3,4,4,3,5,2,1,"100","4",0,"0"
921101910,1,1,19,2,2,1,0,"100",5,5,NA,1,0,3,3,1,"300","40",0,"1"
920978102,1,1,20,2,2,1,0,"98",6,9,4,5,3,7,0,0,"120","21",0,"0"
920964637,1,1,20,2,2,1,0,"98",6,3,5,5,3,7,0,0,"120","10",0,"0"
921726531,1,1,18,1,1,1,1,"100",6,1,3,2,3,7,3,1,"240","14",0,"1"
921073844,1,1,19,2,1,1,0,"100",6,4,4,3,3,7,0,0,"86","15",0,"1"
921885676,1,1,18,1,2,0,0,"90",5,9,5,4,3,7,1,0,"100","6",0,"0"
922513484,1,1,19,1,1,0,1,"80",5,6,4,4,NA,4,0,0,"180","6",0,"0"
922413995,1,1,20,3,2,1,0,"100",5,5,2,2,3,5,2,1,"300","28.3",1,"1"
921916082,1,1,18,1,2,1,1,"100",6,5,NA,2,0,1,3,1,"60","100",0,"1"
921911281,1,1,18,1,2,1,1,"100",6,5,NA,1,1,5,3,1,"30","5",0,"1"
919233214,1,1,20,NA,2,1,1,"90",5,9,2,2,3,7,2,1,"240","8.3",0,"1"
920770397,1,1,19,2,2,1,0,"100",6,9,5,4,3,6,0,0,"30","55",0,"0"
919309229,1,1,21,3,2,1,0,"90",5,NA,4,4,3,NA,0,0,"60","5.5",0,"0"
921850339,1,1,18,1,1,1,0,"100",6,4,1,2,3,7,3,1,"60","14.5",0,"1"
920595190,1,1,19,2,2,0,1,"100",6,9,4,5,3,7,0,0,"120","12",0,"0"
921081425,1,1,19,2,2,1,1,"95",6,5,2,5,3,7,0,0,"120","5",0,"0"
922188657,1,1,19,1,1,1,0,"90",6,4,4,4,0,6,3,1,"300","30",0,"0"
920645176,1,1,19,2,2,1,0,"100",6,1,4,4,3,6,0,0,"240","10",0,"0"
922401143,1,1,18,1,2,1,1,"100",6,5,1,3,3,3,3,0,"120","30",0,"1"
922398489,1,1,19,1,1,0,1,"80",5,4,2,2,0,7,1,0,"60","48",0,"1"
921674900,1,1,31,NA,2,1,0,"100",3,9,0,0,3,7,1,2,"60","15",1,"1"
919563353,1,1,20,3,1,1,0,"90",6,4,4,3,3,4,0,2,"180","9",0,"1"
920526347,1,1,19,2,2,1,0,"100",6,4,4,4,3,6,3,0,"360","6",0,"0"
922014365,1,1,18,1,2,1,1,"100",4,4,3,1,0,4,3,1,"240","21",0,"1"
919505573,1,1,21,3,2,1,0,"90",6,3,1,1,3,3,3,1,"120","12",0,"1"
920818479,1,1,20,2,2,0,1,"90",5,4,5,5,3,7,0,1,"240","14",0,"0"
921887629,1,1,18,1,2,1,1,"96",6,5,2,3,3,7,3,1,"90","40",0,"1"
920486513,1,1,20,2,2,1,0,"100",6,3,5,4,3,7,1,0,"300","23",0,"0"
920691735,1,1,19,2,2,1,0,"90",6,0,3,NA,0,2,3,1,"200","5",0,NA
920962888,1,1,19,2,2,1,0,"96",5,1,4,4,3,2,0,0,"60","40",0,"0"
922567870,1,1,18,1,2,0,0,"100",6,9,5,5,3,7,0,0,"120","15",0,"0"
921253541,1,1,19,2,2,1,1,"90",5,5,2,2,3,3,0,1,"180","35",0,"1"
920579132,1,1,20,2,2,1,0,"100",5,4,1,NA,1,7,3,1,"255","14",0,NA
922396711,1,1,18,1,2,0,1,"20",3,9,5,4,3,7,0,0,"120","1",0,"0"
919933828,1,1,20,3,2,1,0,"99",5,9,5,5,3,7,0,0,"120","4,200",0,"0"
922371367,1,1,18,1,2,1,1,"100",6,4,NA,NA,3,7,3,NA,"180","10",0,NA
922275803,1,1,18,1,2,1,0,"95",5,5,3,1,0,4,3,1,"80","10",0,"1"
922217175,1,1,18,1,2,1,0,"100",6,4,1,1,0,7,3,1,"180","56",0,"1"
922145399,1,1,18,1,2,0,1,"60",3,4,4,4,3,7,0,0,"120","2",0,"0"
922127676,1,1,18,1,2,1,0,"95",6,3,5,5,3,5,0,0,"40","50",0,"0"
922557110,1,1,19,1,1,1,0,"100",6,3,5,4,3,7,0,0,"130","20",0,"0"
921936318,1,1,19,1,2,1,1,"99",5,4,4,4,3,6,1,2,"150","60",0,"0"
922588150,1,1,18,1,2,1,1,"100",6,4,1,3,0,5,3,1,"70","23",0,"1"
921088392,1,1,19,2,2,1,0,"100",6,1,5,5,3,7,0,0,"240","7",0,"0"
919902765,1,1,20,3,1,1,1,"100",6,4,2,2,3,2,3,1,"120","8",0,"1"
921850957,1,1,18,1,2,1,1,"80",6,9,4,4,3,7,0,0,"60","4.66",0,"0"
922090347,1,1,18,1,2,0,1,"30",4,8,5,5,3,7,0,0,"60","14",0,"0"
921943660,1,1,18,1,2,0,0,"100",6,4,5,4,3,7,0,0,"300","3",0,"0"
922119435,1,1,19,1,1,1,0,"100",6,4,4,4,3,6,0,0,"10","28",0,"0"
919195255,1,1,20,3,2,1,1,"90",6,5,NA,NA,3,2,3,1,"63","30.24",0,NA
922041464,1,1,18,1,2,1,1,"95",6,1,3,3,0,3,3,1,"200","13",0,"1"
922008643,1,1,20,1,2,0,1,"50",6,4,4,4,3,7,0,0,"200","10",0,"0"
920919640,1,1,22,4,1,1,0,"99",6,3,5,5,3,7,1,0,"63","30",1,"0"
920432473,1,1,19,2,2,1,0,"100",6,4,4,5,3,6,0,0,"120","35",0,"0"
922477216,1,1,19,1,2,0,1,"80",5,4,4,4,NA,6,1,0,"360","14.3",0,"0"
919582509,1,1,20,3,1,1,0,"100",6,3,5,5,3,7,0,0,"0","15",0,"0"
920584509,1,1,19,1,2,0,1,"35",3,4,5,5,3,7,1,2,"200","36",0,"0"
922017317,1,1,18,1,2,0,1,"80",5,NA,NA,NA,3,7,0,0,"130","10",0,NA
921881984,1,1,18,1,2,1,0,"100",5,4,3,4,3,6,0,0,"120","35",0,"0"
922053805,1,1,18,1,2,1,1,"95",6,9,3,3,3,7,3,2,"240","10",0,"1"
922110272,1,1,19,1,2,0,1,"30",3,4,4,4,3,7,3,0,"1,080","10",0,"0"
919665879,1,1,20,3,2,1,0,"100",6,4,3,4,3,5,NA,0,"120","57",0,"0"
919505117,1,1,20,3,2,1,0,"100",6,1,3,4,NA,7,0,0,"120","6",0,"0"
921395179,1,1,19,2,2,1,1,"85",6,5,2,1,NA,7,3,1,"60","20.3",0,"1"
922038040,1,1,19,1,1,1,1,"100",6,9,NA,5,0,7,0,0,"150","24",0,"0"
918732101,1,1,22,4,2,1,0,"98",6,1,3,3,3,4,3,1,"300","6",0,"1"
922388017,1,1,19,1,2,1,0,"100",6,3,3,3,3,6,3,1,"180","14",0,"1"
921650555,1,1,20,2,1,1,0,"100",6,9,3,3,3,NA,1,1,"120","12",0,"1"
918645625,1,1,21,3,1,1,0,"100",5,4,3,4,NA,NA,NA,1,"30","19",1,"0"
922086160,1,1,19,1,2,0,1,"80",6,4,NA,NA,3,NA,1,2,"80","4.5",0,NA
922513413,1,1,18,1,2,1,0,"100",6,5,3,3,0,1,3,1,"180","8",0,"1"
922612893,1,1,18,1,2,0,1,"60",6,4,1,1,NA,7,NA,0,"264","2.93",0,"1"
920926552,1,1,19,2,1,1,0,"98",6,1,4,5,0,7,0,0,"100","2",0,"0"
922342189,1,1,18,1,2,0,1,"100",6,9,4,3,3,7,1,2,"30","7",0,"1"
922360792,1,1,18,1,2,1,0,"100",6,1,5,4,0,6,2,1,"420","9.31",1,"0"
922658048,1,1,19,1,2,0,1,"95",6,4,5,5,0,7,0,0,"200","17",0,"0"
922219047,1,1,19,1,2,1,1,"90",6,4,4,4,3,7,3,0,"120","32",0,"0"
921144346,1,1,19,2,2,1,1,"100",6,4,5,4,3,7,NA,1,"40","40",0,"0"
920779686,1,1,19,2,2,1,0,"70",6,1,3,3,3,5,2,0,"100","14",0,"1"
922131905,1,1,19,1,2,1,NA,"85",6,4,2,2,3,7,3,1,"180","37",0,"1"
922319235,1,1,18,1,2,1,0,"80",4,9,5,5,3,7,3,0,"75","30",0,"0"
921094234,1,1,19,2,1,1,0,"100",6,1,4,4,NA,4,3,0,"160","8",0,"0"
921079903,1,1,19,2,2,1,1,"100",6,3,3,5,3,5,0,0,"120","40",0,"0"
919484597,1,1,21,3,1,0,0,"90",6,4,5,3,NA,7,0,2,"180","15",0,"1"
916864262,1,1,22,4,2,1,1,"98",6,5,1,1,3,6,3,1,"120","4",0,"1"
922437751,1,1,19,1,2,0,1,"85",5,4,5,5,3,7,0,0,"120","42",0,"0"
919241617,1,1,19,3,2,1,0,"100",6,3,3,5,0,4,1,1,"90","30",0,"0"
919858000,1,1,20,3,2,1,0,"100",5,4,3,4,3,7,0,0,"180","50",0,"0"
921972055,1,1,18,1,2,1,1,"90",6,4,5,5,3,7,0,0,"100","20",0,"0"
922159592,1,1,18,1,1,0,1,"50",3,4,4,4,3,7,0,0,"120","6",0,"0"
919695454,1,1,20,3,1,NA,0,"95",6,4,4,4,3,6,0,0,"180","240",0,"0"
921161345,1,1,20,2,2,1,0,"90",6,9,4,5,3,7,3,1,"120","240",0,"0"
920899731,1,1,19,2,2,1,0,"100",6,9,4,5,3,6,0,0,"120","21",0,"0"
921826114,1,1,19,1,1,1,0,"95",6,5,4,4,3,7,0,0,"65","18",0,"0"
919229969,1,1,20,2,1,1,0,"100",6,0,1,3,1,1,1,1,"120","6",0,"1"
919870334,1,1,20,3,2,1,1,"95",6,5,2,2,3,3,3,1,"90","8",0,"1"
922292132,1,1,18,1,2,1,1,"90",6,4,5,5,3,7,0,0,"200","2.3",0,"0"
919614370,1,1,20,3,2,1,1,"100",6,4,3,5,3,7,2,0,"60","14",0,"0"
921494083,1,1,19,2,2,1,1,"100",4,0,2,1,3,3,3,1,"180","40",1,"1"
921939852,1,1,18,1,2,1,0,"95",6,9,4,4,3,6,0,0,"60","50",0,"0"
922163290,1,1,18,1,2,1,0,"100",5,9,1,3,3,7,0,0,"300","24",0,"1"
920573769,1,1,19,2,2,1,0,"90",6,3,3,4,NA,5,0,1,"300","35",0,"0"
922206089,1,1,18,1,2,1,0,"75",6,4,3,4,3,7,1,2,"120","12",0,"0"
920960385,1,1,19,2,2,1,0,"100",6,3,1,1,3,3,1,0,"60","15",0,"1"
919908989,1,1,20,3,2,1,0,"85",6,4,NA,NA,3,7,1,2,"480","3",1,NA
921769938,1,1,18,1,2,1,0,"100",6,1,5,5,3,6,0,0,"300","18",0,"0"
921877613,1,1,18,1,2,1,0,"100",6,1,3,1,3,7,1,0,"180","28",0,"1"
922612440,1,1,19,1,NA,0,1,"70",6,4,4,4,3,6,0,0,"300","30.5",0,"0"
921800318,1,1,18,1,2,1,0,"95",5,4,2,2,0,5,3,1,"310","6.2",0,"1"
919406397,1,1,20,4,2,1,0,"100",6,5,2,2,3,7,1,1,"180","4",0,"1"
922386080,1,1,19,1,2,1,0,"100",6,3,4,5,3,7,0,0,"240","35",0,"0"
