"source","SID","views5","ov_op","ov_cv","confound","internal","interpret","external"
"Exam_5B_scores.csv",921305855,1,6,10,10,10,10,9
"Exam_5B_scores.csv",921149396,1,2,10,10,10,6,7
"Exam_5B_scores.csv",920417799,0,2,10,4,10,0,6
"Exam_5B_scores.csv",920767559,0,6,10,6,10,8,8
"Exam_5B_scores.csv",921650555,0,7,10,10,10,6,7
"Exam_5B_scores.csv",921160650,1,9,10,10,10,9,10
"Exam_5B_scores.csv",921931821,1,9,10,10,10,10,10
"Exam_5B_scores.csv",922418424,0,9,10,10,10,9,10
"Exam_5B_scores.csv",920105920,0,9,10,10,10,10,9
"Exam_5B_scores.csv",920931877,0,8,10,10,10,10,9
"Exam_5B_scores.csv",922664922,0,9,10,10,10,7,10
"Exam_5B_scores.csv",921929710,0,7,10,10,10,3,8
"Exam_5B_scores.csv",922542581,1,9,10,10,10,7,8
"Exam_5B_scores.csv",921286916,0,9,10,10,10,7,8
"Exam_5B_scores.csv",920548998,1,8,10,10,10,8,9
"Exam_5B_scores.csv",922465011,1,9,10,10,10,9,10
"Exam_5B_scores.csv",922184677,1,8,10,10,10,8,9
"Exam_5B_scores.csv",922010628,3,9,10,10,10,10,10
"Exam_5B_scores.csv",922475687,0,9,8,10,10,3,10
"Exam_5B_scores.csv",921229054,3,8,10,10,10,6,9
"Exam_5B_scores.csv",919665879,2,9,10,10,10,7,8
"Exam_5B_scores.csv",922906444,0,8,10,6,10,5,8
"Exam_5B_scores.csv",921133412,1,9,10,10,10,9,9
"Exam_5B_scores.csv",920082522,0,8,10,10,10,9,7
"Exam_5B_scores.csv",921034524,11,8,10,10,10,4,6
"Exam_5B_scores.csv",919653179,2,8,5,10,10,7,9
"Exam_5B_scores.csv",918405988,0,8,10,10,10,8,10
"Exam_5B_scores.csv",920628957,0,7,10,10,10,9,7
"Exam_5B_scores.csv",919305168,0,9,10,10,10,8,10
"Exam_5B_scores.csv",922160109,0,7,10,6,10,4,8
"Exam_5B_scores.csv",921803014,0,9,10,10,10,5,10
"Exam_5B_scores.csv",922511334,1,9,10,10,10,8,8
"Exam_5B_scores.csv",922720659,0,9,10,10,10,5,10
"Exam_5B_scores.csv",921452533,1,8,10,10,10,8,5
"Exam_5B_scores.csv",922761906,0,6,10,10,10,6,9
"Exam_5B_scores.csv",921903778,0,6,10,4,10,0,9
"Exam_5B_scores.csv",922421437,1,9,10,10,10,10,10
"Exam_5B_scores.csv",921494083,3,9,10,10,10,6,9
"Exam_5B_scores.csv",921769938,2,8,10,10,10,9,8
"Exam_5B_scores.csv",921674900,2,9,10,10,10,9,9
"Exam_5B_scores.csv",920997895,0,9,10,6,10,8,10
"Exam_5B_scores.csv",920581780,1,8,10,10,10,7,9
"Exam_5B_scores.csv",919883266,0,9,10,10,10,10,10
