source,anon_id,views5,pv_op,pv_cv,confound,internal,interpret,external
5_D_Mar23_anon.csv,840463,2,10,8.5,10,10,4,10
5_D_Mar23_anon.csv,721359,1,10,10,6.5,6.5,6.5,10
5_D_Mar23_anon.csv,497496,3,10,10,6.5,6.5,5,10
5_D_Mar23_anon.csv,843535,0,10,1,6.5,6.5,2.5,10
5_D_Mar23_anon.csv,560484,0,10,10,6.5,10,7.5,10
5_D_Mar23_anon.csv,214276,2,9.75,1,6.5,10,5,0
5_D_Mar23_anon.csv,449769,2,8.5,10,10,10,5,10
5_D_Mar23_anon.csv,643893,1,0,7,6.5,10,2.5,10
5_D_Mar23_anon.csv,324553,1,10,5.5,10,10,2.5,10
5_D_Mar23_anon.csv,825875,0,10,7,10,10,10,10
5_D_Mar23_anon.csv,362052,0,10,7,3.5,10,2.5,10
5_D_Mar23_anon.csv,678041,1,10,10,10,10,10,10
5_D_Mar23_anon.csv,352138,1,9.75,7,6.5,10,2.5,10
5_D_Mar23_anon.csv,520659,0,10,10,6.5,10,5,10
5_D_Mar23_anon.csv,218653,1,10,10,10,10,2.5,10
5_D_Mar23_anon.csv,802878,0,10,7,10,10,2.5,10
5_D_Mar23_anon.csv,882737,0,10,7,4.25,0,2.5,4
5_D_Mar23_anon.csv,575085,0,10,10,6.5,10,5,10
