source,anon_id,views1,h0,h1,pv_op,ov_op,claim_ex,interpret
1_D_Mar23_anon.csv,893307,1,1,5,8.5,10,10,8.5
1_D_Mar23_anon.csv,787036,1,5,5,9,4,10,8
1_D_Mar23_anon.csv,162187,0,5,5,9.5,8,7.5,9.5
1_D_Mar23_anon.csv,863048,1,5,5,6,5.25,10,8
1_D_Mar23_anon.csv,582644,2,5,5,10,8.5,10,8
1_D_Mar23_anon.csv,316657,5,5,5,9.5,8.25,9,9.5
1_D_Mar23_anon.csv,244223,7,5,5,9,5.75,10,9.5
1_D_Mar23_anon.csv,535753,7,4,3,8,3.5,5,0
1_D_Mar23_anon.csv,351711,7,5,5,10,5.75,10,9.5
1_D_Mar23_anon.csv,309943,1,5,5,8,10,10,8
1_D_Mar23_anon.csv,479550,2,4,5,9.5,7.75,10,8.5
1_D_Mar23_anon.csv,292900,1,5,5,8,8.25,10,10
1_D_Mar23_anon.csv,100168,1,1,5,9,5.75,10,8.5
1_D_Mar23_anon.csv,967176,2,1,5,9,5.75,10,10
1_D_Mar23_anon.csv,298091,2,5,5,7,5,5,9.5
1_D_Mar23_anon.csv,980587,2,5,5,8,8.25,10,10
1_D_Mar23_anon.csv,840463,7,1,5,10,3.25,10,9.5
1_D_Mar23_anon.csv,149203,9,5,5,8,7.75,10,8
1_D_Mar23_anon.csv,903345,2,3,5,7,5.5,5,8
1_D_Mar23_anon.csv,877146,1,5,5,7,5,10,8
1_D_Mar23_anon.csv,570017,2,5,5,8,10,10,8
1_D_Mar23_anon.csv,423080,2,5,5,9.5,8.75,10,8
1_D_Mar23_anon.csv,362052,0,5,5,8,3.25,10,1.5
1_D_Mar23_anon.csv,348715,2,5,5,8,7.75,10,9.5
1_D_Mar23_anon.csv,520659,1,5,5,8,9,10,8
1_D_Mar23_anon.csv,221958,0,5,5,6,5.75,10,9.5
1_D_Mar23_anon.csv,257545,4,5,5,10,9,9,8
1_D_Mar23_anon.csv,218653,2,5,5,9.5,5.75,10,8
1_D_Mar23_anon.csv,889441,0,3,5,10,0,5,0
1_D_Mar23_anon.csv,646241,2,5,5,7.5,7.25,0,8
1_D_Mar23_anon.csv,794376,0,5,5,10,6,10,8.5
